"movieId","userId","rating","tmdbId","imdbId"
1,1,"like",862,114709
1,43,"like",862,114709
1,45,"like",862,114709
1,50,"like",862,114709
1,19,"like",862,114709
1,5,"like",862,114709
1,15,"like",862,114709
1,18,"like",862,114709
1,27,"like",862,114709
1,17,"like",862,114709
1,40,"like",862,114709
1,32,"like",862,114709
1,46,"like",862,114709
1,33,"like",862,114709
1,31,"like",862,114709
1,21,"like",862,114709
1,7,"like",862,114709
1,44,"like",862,114709
2,21,"like",8844,113497
2,6,"like",8844,113497
2,18,"like",8844,113497
2,27,"like",8844,113497
2,20,"like",8844,113497
2,8,"like",8844,113497
2,19,"like",8844,113497
3,1,"like",15602,113228
3,43,"like",15602,113228
3,32,"like",15602,113228
3,19,"like",15602,113228
3,6,"like",15602,113228
3,44,"like",15602,113228
3,42,"like",15602,113228
4,6,"like",31357,114885
4,14,"like",31357,114885
5,43,"like",11862,113041
5,31,"like",11862,113041
5,6,"like",11862,113041
5,45,"like",11862,113041
6,11,"like",949,113277
6,28,"like",949,113277
6,23,"like",949,113277
6,24,"like",949,113277
6,45,"like",949,113277
6,44,"like",949,113277
6,6,"like",949,113277
6,32,"like",949,113277
6,1,"like",949,113277
6,18,"like",949,113277
7,42,"like",11860,114319
7,43,"like",11860,114319
7,31,"like",11860,114319
7,45,"like",11860,114319
7,19,"dislike",11860,114319
7,6,"like",11860,114319
7,14,"like",11860,114319
7,32,"like",11860,114319
7,33,"dislike",11860,114319
8,43,"like",45325,112302
8,6,"like",45325,112302
8,20,"dislike",45325,112302
10,21,"like",710,113189
10,6,"like",710,113189
10,46,"like",710,113189
10,42,"like",710,113189
10,43,"like",710,113189
10,26,"like",710,113189
10,8,"dislike",710,113189
10,11,"like",710,113189
10,19,"dislike",710,113189
10,31,"like",710,113189
10,34,"like",710,113189
11,45,"like",9087,112346
11,33,"dislike",9087,112346
11,8,"like",9087,112346
11,6,"like",9087,112346
11,35,"like",9087,112346
11,38,"like",9087,112346
11,43,"like",9087,112346
11,42,"like",9087,112346
12,19,"dislike",12110,112896
12,44,"dislike",12110,112896
13,6,"like",21032,112453
13,19,"like",21032,112453
13,20,"like",21032,112453
15,6,"like",1408,112760
15,19,"dislike",1408,112760
16,18,"like",524,112641
16,42,"like",524,112641
16,28,"like",524,112641
16,6,"like",524,112641
17,40,"like",4584,114388
17,38,"like",4584,114388
17,6,"like",4584,114388
17,31,"like",4584,114388
17,33,"like",4584,114388
18,44,"like",5,113101
19,45,"like",9273,112281
19,42,"dislike",9273,112281
19,19,"dislike",9273,112281
19,21,"like",9273,112281
19,6,"dislike",9273,112281
19,14,"dislike",9273,112281
19,40,"dislike",9273,112281
21,42,"like",8012,113161
21,4,"like",8012,113161
21,40,"like",8012,113161
21,38,"like",8012,113161
21,5,"like",8012,113161
21,32,"like",8012,113161
21,8,"like",8012,113161
21,28,"like",8012,113161
21,6,"dislike",8012,113161
21,45,"like",8012,113161
21,33,"like",8012,113161
21,35,"like",8012,113161
22,42,"like",1710,112722
22,6,"like",1710,112722
23,28,"dislike",9691,112401
23,43,"like",9691,112401
24,6,"like",12665,114168
24,32,"like",12665,114168
25,32,"like",451,113627
25,33,"like",451,113627
25,31,"dislike",451,113627
25,6,"like",451,113627
25,14,"like",451,113627
25,36,"like",451,113627
26,40,"like",16420,114057
26,6,"like",16420,114057
26,32,"like",16420,114057
27,6,"like",9263,114011
28,33,"like",17015,114117
29,43,"like",902,112682
29,23,"like",902,112682
31,28,"like",9909,112792
31,3,"dislike",9909,112792
31,6,"like",9909,112792
31,40,"like",9909,112792
31,47,"like",9909,112792
32,18,"like",63,114746
32,46,"like",63,114746
32,32,"like",63,114746
32,24,"like",63,114746
32,6,"like",63,114746
32,4,"dislike",63,114746
32,45,"like",63,114746
32,23,"like",63,114746
32,33,"like",63,114746
32,39,"like",63,114746
32,28,"like",63,114746
32,8,"like",63,114746
32,50,"like",63,114746
32,19,"like",63,114746
32,14,"like",63,114746
34,27,"like",9598,112431
34,26,"like",9598,112431
34,40,"like",9598,112431
34,43,"like",9598,112431
34,20,"like",9598,112431
34,18,"like",9598,112431
34,6,"like",9598,112431
34,5,"like",9598,112431
34,8,"like",9598,112431
34,33,"like",9598,112431
34,19,"like",9598,112431
36,5,"like",687,112818
36,44,"like",687,112818
36,18,"like",687,112818
36,32,"like",687,112818
36,6,"like",687,112818
36,33,"like",687,112818
36,11,"like",687,112818
38,21,"like",33689,113442
39,38,"like",9603,112697
39,32,"like",9603,112697
39,12,"like",9603,112697
39,35,"like",9603,112697
39,5,"like",9603,112697
39,8,"like",9603,112697
39,33,"like",9603,112697
39,14,"like",9603,112697
39,45,"like",9603,112697
39,46,"like",9603,112697
41,9,"like",31174,114279
41,6,"like",31174,114279
43,6,"like",35196,114272
43,33,"dislike",35196,114272
44,11,"dislike",9312,113855
44,17,"like",9312,113855
44,19,"like",9312,113855
44,40,"like",9312,113855
44,15,"dislike",9312,113855
44,21,"dislike",9312,113855
45,4,"like",577,114681
45,6,"like",577,114681
46,40,"like",11861,113347
46,6,"like",11861,113347
47,42,"like",807,114369
47,18,"like",807,114369
47,13,"like",807,114369
47,4,"dislike",807,114369
47,1,"like",807,114369
47,47,"like",807,114369
47,16,"like",807,114369
47,8,"like",807,114369
47,19,"like",807,114369
47,14,"like",807,114369
47,15,"like",807,114369
47,39,"like",807,114369
47,43,"like",807,114369
47,17,"like",807,114369
47,6,"like",807,114369
47,26,"like",807,114369
47,41,"like",807,114369
47,28,"like",807,114369
48,21,"like",10530,114148
48,48,"like",10530,114148
48,38,"like",10530,114148
48,40,"dislike",10530,114148
48,20,"like",10530,114148
48,27,"like",10530,114148
48,19,"dislike",10530,114148
48,43,"like",10530,114148
50,18,"like",629,114814
50,35,"like",629,114814
50,7,"like",629,114814
50,24,"like",629,114814
50,42,"like",629,114814
50,1,"like",629,114814
50,38,"like",629,114814
50,8,"like",629,114814
50,33,"like",629,114814
50,17,"like",629,114814
50,23,"like",629,114814
50,29,"like",629,114814
50,6,"dislike",629,114814
50,32,"like",629,114814
50,39,"like",629,114814
50,41,"like",629,114814
50,16,"like",629,114814
50,46,"like",629,114814
50,45,"like",629,114814
50,28,"like",629,114814
50,5,"like",629,114814
52,32,"like",11448,113819
52,4,"like",11448,113819
54,6,"like",26441,112499
54,19,"dislike",26441,112499
57,43,"like",9089,113321
58,4,"like",11010,110877
58,32,"like",11010,110877
58,5,"like",11010,110877
58,7,"like",11010,110877
58,23,"like",11010,110877
58,33,"like",11010,110877
60,6,"like",11359,113419
60,40,"like",11359,113419
60,43,"like",11359,113419
60,35,"like",11359,113419
60,27,"like",11359,113419
61,6,"like",17182,116260
62,32,"like",2054,113862
62,6,"like",2054,113862
62,38,"like",2054,113862
62,31,"like",2054,113862
62,47,"like",2054,113862
62,35,"like",2054,113862
